season,week,gameDate,roadTeam,rTotalScore,rScore1Q,rScore2Q,rScore3Q,rScore4Q,rScoreOT,homeTeam,hTotalScore,hScore1Q,hScore2Q,hScore3Q,hScore4Q,hScoreOT
2017,16,2017-12-25,N,PIT,34,10,10,7,7,0,HOU,6,0,0,0,6,0
2017,16,2017-12-25,N,OAK,10,0,7,3,0,0,PHI,19,7,0,3,9,0
2017,17,2017-12-31,N,GB,11,3,0,0,8,0,DET,35,3,17,7,8,0
2017,17,2017-12-31,N,HOU,13,3,10,0,0,0,IND,22,0,7,7,8,0
2017,17,2017-12-31,N,CHI,10,0,7,0,3,0,MIN,23,7,9,7,0,0
2017,17,2017-12-31,N,NYJ,6,3,0,0,3,0,NE,26,7,14,3,2,0
2017,17,2017-12-31,N,WAS,10,7,3,0,0,0,NYG,18,15,0,0,3,0
2017,17,2017-12-31,N,DAL,6,0,0,0,6,0,PHI,0,0,0,0,0,0
2017,17,2017-12-31,N,CLE,24,0,14,10,0,0,PIT,28,7,14,7,0,0
2017,17,2017-12-31,N,CAR,10,0,7,0,3,0,ATL,22,7,0,6,9,0
2017,17,2017-12-31,N,KC,27,7,7,10,3,0,DEN,24,3,7,0,14,0
2017,17,2017-12-31,N,JAX,10,0,3,0,7,0,TEN,15,0,12,3,0,0
2017,17,2017-12-31,N,SF,34,10,10,7,7,0,LAR,13,3,3,0,7,0
2017,17,2017-12-31,N,BUF,22,7,3,9,3,0,MIA,16,0,0,3,13,0
2017,17,2017-12-31,N,OAK,10,0,10,0,0,0,LAC,30,0,20,10,0,0
2017,17,2017-12-31,N,ARI,26,10,10,3,3,0,SEA,24,7,0,7,10,0
2017,17,2017-12-31,N,NO,24,14,0,3,7,0,TB,31,7,6,0,18,0
2017,17,2017-12-31,N,CIN,31,7,10,7,7,0,BAL,27,0,10,7,10,0
